                                                 28 Nov 2023 15:59:33
Civil Air Patrol Use Only
FigureOfMerit-revisittime


                         Coverage Properties                         
---------------------------------------------------------------------
LatLon Region Coverage                                               
Grid Altitude: 0.0000 (km)                                           
Ground Altitude set from grid altitude reference (On ellipsoid)      
Resolution: 1.0000 (deg)                                             
Number of Points: 14472                                              
Assets required for a valid access: At Least 1                       
Assigned Assets:                                                     
    Satellite/mysat/Sensor/mysen:    Active                          
Access Interval: 28 Nov 2023 04:00:00.000 to 29 Nov 2023 04:00:00.000
Regional Acceleration: Automatic                                     
Light time delay: Ignored                                            
Maximum Sampling Time Step: 360.000 secs                             
Minimum Sampling Time Step: 0.010 secs                               
Time Convergence: 5.000e-03 secs                                     
Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14           


                 FOM Properties                 
------------------------------------------------
Maximum Revisit Time                            
Minimum number of assets required: 1            
Gaps at ends of analysis interval are considered
Satisfaction is not enabled                     
FOM value range check is not enabled.           


Latitude (deg)    Longitude (deg)    FOM Value (sec)
       -28.571            243.889          42712.810
       -28.571            245.000          42715.999
       -28.571            246.111          42719.926
       -28.571            247.222          42724.547
       -28.571            248.333          42729.824
       -28.571            249.444          42735.725
       -28.571            250.556          42742.227
       -28.571            251.667          42749.298
       -28.571            252.778          37147.445
       -28.571            253.889          37109.884
       -28.571            255.000          37086.739
       -28.571            256.111          37070.357
       -28.571            257.222          37058.206
       -28.571            258.333          37049.087
       -28.571            259.444          37042.295
       -28.571            260.556          37037.384
       -28.571            261.667          37034.054
       -28.571            262.778          37032.074
       -28.571            263.889          37031.288
       -28.571            265.000          37031.562
       -28.571            266.111          37032.795
       -28.571            267.222          37034.907
       -28.571            268.333          37037.828
       -28.571            269.444          37041.505
       -28.571            270.556          37045.890
       -28.571            271.667          37050.943
       -28.571            272.778          37056.631
       -28.571            273.889          37062.925
       -28.571            275.000          37069.800
       -28.571            276.111          31492.786
       -28.571            277.222          31443.521
       -28.571            278.333          31416.823
       -28.571            279.444          31398.497
       -28.571            280.556          31385.056
       -28.571            281.667          31374.981
       -28.571            282.778          31367.441
       -28.571            283.889          31361.916
       -28.571            285.000          31358.066
       -28.571            286.111          31355.640
       -28.571            287.222          31354.456
       -28.571            288.333          31354.375
       -28.571            289.444          31355.286
       -28.571            290.556          31357.101
       -28.571            291.667          31359.749
       -28.571            292.778          31363.169
       -28.571            293.889          31367.313
       -28.571            295.000          31372.138
       -28.571            296.111          31377.609
       -28.571            297.222          31383.696
       -28.571            298.333          31390.372
       -28.571            299.444          31397.615
       -28.571            300.556          25779.352
       -28.571            301.667          25747.863
       -28.571            302.778          25727.210
       -28.571            303.889          25712.303
       -28.571            305.000          25701.179
       -28.571            306.111          25692.828
       -28.571            307.222          25686.654
       -28.571            308.333          25682.252
       -28.571            309.444          25679.355
       -28.571            310.556          25677.758
       -28.571            311.667          25677.308
       -28.571            312.778          25677.886
       -28.571            313.889          25679.396
       -28.571            315.000          25681.762
       -28.571            316.111          25684.920
       -28.571            317.222          25688.818
       -28.571            318.333          25693.411
       -28.571            319.444          25698.662
       -28.571            320.556          25704.542
       -28.571            321.667          25711.016
       -28.571            322.778          25718.065
       -28.571            323.889          24094.751
       -28.571            325.000          24092.186
       -28.571            326.111          24090.461
       -28.571            327.222          24089.648
       -28.571            328.333          24089.832
       -28.571            329.444          24091.135
       -28.571            330.556          24093.695
       -28.571            331.667          24097.703
       -28.571            332.778          24103.416
       -28.571            333.889          24111.181
       -28.571            335.000          24121.551
       -28.571            336.111          24135.402
       -28.571            337.222          24154.368
       -28.571            338.333          24182.304
       -28.571            339.444          24237.333
       -28.571            340.556          29804.384
       -28.571            341.667          29797.570
       -28.571            342.778          29791.337
       -28.571            343.889          29785.708
       -28.571            345.000          29780.721
       -28.571            346.111          29776.406
       -28.571            347.222          29772.808
       -28.571            348.333          29769.962
       -28.571            349.444          29767.939
       -28.571            350.556          29766.796
       -28.571            351.667          29766.625
       -28.571            352.778          29767.529
       -28.571            353.889          29769.635
       -28.571            355.000          29773.117
       -28.571            356.111          29778.201
       -28.571            357.222          29785.205
       -28.571            358.333          29794.596
       -28.571            359.444          29807.102
